Outcome,Feature,Split,N,Missing_N,Missing_rate,Handling
MEDDL,HISPALLP_A,validation,3225,0,0.0,Train-fitted imputation
MEDDL,EDUCP_A,validation,3225,11,0.0034108527131782944,Train-fitted imputation
MEDDL,RATCAT_A,validation,3225,0,0.0,Train-fitted imputation
MEDDL,EMPWRKLSW1_A,validation,3225,91,0.028217054263565893,Train-fitted imputation
MEDDL,NOTCOV_A,validation,3225,8,0.00248062015503876,Train-fitted imputation
MEDDL,FDSCAT3_A,validation,3225,106,0.032868217054263564,Train-fitted imputation
MEDDL,PHSTAT_A,validation,3225,3,0.0009302325581395349,Train-fitted imputation
MEDDL,DISAB3_A,validation,3225,0,0.0,Train-fitted imputation
MEDDL,K6SPD_A,validation,3225,61,0.01891472868217054,Train-fitted imputation
MEDDL,CHRONIC_BURDEN_CAT,validation,3225,18,0.005581395348837209,Explicit Missing/indeterminate category
MEDDL,AGEP_A,test,6419,14,0.0021810250817884407,Train-fitted imputation
MEDDL,SEX_A,test,6419,1,0.00015578750584203146,Train-fitted imputation
MEDDL,HISPALLP_A,test,6419,0,0.0,Train-fitted imputation
MEDDL,EDUCP_A,test,6419,32,0.004985200186945007,Train-fitted imputation
MEDDL,RATCAT_A,test,6419,0,0.0,Train-fitted imputation
MEDDL,EMPWRKLSW1_A,test,6419,193,0.030066988627512073,Train-fitted imputation
MEDDL,NOTCOV_A,test,6419,19,0.002959962610998598,Train-fitted imputation
MEDDL,FDSCAT3_A,test,6419,231,0.03598691384950927,Train-fitted imputation
MEDDL,PHSTAT_A,test,6419,3,0.0004673625175260944,Train-fitted imputation
MEDDL,DISAB3_A,test,6419,0,0.0,Train-fitted imputation
MEDDL,K6SPD_A,test,6419,121,0.018850288206885807,Train-fitted imputation
MEDDL,CHRONIC_BURDEN_CAT,test,6419,46,0.007166225268733448,Explicit Missing/indeterminate category
